category,city,rating
Drinks & nightlife,Kammanahalli,3.894
Drinks & nightlife,Koramangala 4th Block,3.961
Drinks & nightlife,Koramangala 5th Block,3.864
Drinks & nightlife,Koramangala 6th Block,3.945
Drinks & nightlife,Koramangala 7th Block,3.946
Drinks & nightlife,Lavelle Road,3.775
Drinks & nightlife,MG Road,3.906
Drinks & nightlife,Malleshwaram,3.844
Drinks & nightlife,Marathahalli,3.969
Drinks & nightlife,New BEL Road,4.115
Drinks & nightlife,Old Airport Road,3.843
Drinks & nightlife,Rajajinagar,3.79
Drinks & nightlife,Residency Road,3.942
Drinks & nightlife,Sarjapur Road,4.129
Drinks & nightlife,Whitefield,3.867
Pubs and bars,BTM,3.681
Pubs and bars,Bellandur,4.243
Pubs and bars,Brigade Road,3.656
Pubs and bars,Church Street,3.716
Pubs and bars,Electronic City,3.31
Pubs and bars,Frazer Town,3.194
Pubs and bars,HSR,3.391
Pubs and bars,Indiranagar,3.664
Pubs and bars,Koramangala 5th Block,3.624
Pubs and bars,Koramangala 7th Block,3.765
Pubs and bars,MG Road,3.728
Pubs and bars,Malleshwaram,3.94
Pubs and bars,New BEL Road,4.158
Pubs and bars,Old Airport Road,3.758
Pubs and bars,Rajajinagar,3.834
Pubs and bars,Sarjapur Road,3.925
Pubs and bars,Whitefield,3.655
,,
