rowid,cost,avg_rate,listed_type,SUM(votes)
187,1800,4.23,Buffet,14350
188,1800,4.17,Delivery,8475
189,1800,4.17,Dine-out,44318
190,1800,4.15,Drinks & nightlife,31965
191,1800,4.11,Pubs and bars,25976
192,1900,3.87,Buffet,270
193,1900,4.3,Delivery,2160
194,1900,3.93,Dine-out,3265
195,1900,3.95,Drinks & nightlife,2825
196,1900,3.95,Pubs and bars,2825
197,2000,3.96,Buffet,8658
198,2000,4,Cafes,556
199,2000,4.25,Delivery,12075
200,2000,4.23,Desserts,1115
201,2000,4.06,Dine-out,34221
202,2000,3.82,Drinks & nightlife,20721
203,2000,3.38,Pubs and bars,10430
204,2100,2.77,Buffet,5495
205,2100,3,Delivery,4600
206,2100,2.86,Dine-out,8420
207,2100,3.02,Drinks & nightlife,5159
208,2100,1.37,Pubs and bars,1327
209,2200,3.94,Buffet,3028
210,2200,3.8,Cafes,25
211,2200,3.8,Desserts,25
212,2200,3.96,Dine-out,5079
213,2200,3.67,Drinks & nightlife,366
214,2200,3.5,Pubs and bars,29
215,2300,3.6,Dine-out,196
216,2300,3,Drinks & nightlife,25
217,2300,3,Pubs and bars,25
218,2400,4.2,Buffet,371
219,2400,4.08,Dine-out,7769
220,2400,4.23,Drinks & nightlife,7401
221,2400,4.7,Pubs and bars,7064
222,2500,4.2,Buffet,2602
223,2500,4.1,Cafes,563
224,2500,4.3,Delivery,516
225,2500,4.18,Dine-out,22985
226,2500,4.14,Drinks & nightlife,15563
227,2500,4.37,Pubs and bars,13190
228,2600,4,Dine-out,4807
229,2600,4.1,Drinks & nightlife,4768
230,2700,4.5,Buffet,785
231,2700,4.15,Dine-out,852
232,2800,4.3,Buffet,148
233,2800,4.14,Dine-out,3209
234,2800,3.9,Drinks & nightlife,651
235,2800,3.7,Pubs and bars,43
236,3000,4.23,Buffet,3017
237,3000,4.4,Delivery,2229
238,3000,4.19,Dine-out,12408
239,3000,4.21,Drinks & nightlife,6677
240,3000,4.05,Pubs and bars,377
241,3200,4.4,Dine-out,514
242,3400,4.3,Buffet,1051
243,3400,4.3,Dine-out,1041
244,3400,4.3,Drinks & nightlife,429
245,3500,4.2,Buffet,589
246,3500,4.3,Dine-out,2288
247,3500,4.3,Drinks & nightlife,430
248,3500,4.4,Pubs and bars,424
249,3700,4,Dine-out,134
250,4000,4.2,Dine-out,2417
251,4000,4.1,Drinks & nightlife,275
252,4000,4.1,Pubs and bars,270
253,4100,4.1,Buffet,309
254,4100,4.1,Dine-out,309
255,4500,4.3,Dine-out,53
256,4500,4.3,Drinks & nightlife,53
257,5000,4.3,Dine-out,413
258,6000,4.3,Dine-out,126
